"","student_id","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","final_result"
"1",11391,98,183,20,100,NA,26,60,22,20,NA,16,9,31,2,5,27,9,NA,27,55,NA,NA,1,2,NA,NA,NA,29,6,NA,NA,43,35,NA,15,85,7,1,NA,"Pass"
"2",28400,215,175,66,37,57,75,NA,21,23,31,25,27,10,59,39,14,22,NA,28,24,39,4,19,53,13,25,33,69,97,8,21,88,5,12,NA,1,NA,NA,NA,"Pass"
"3",30268,102,107,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Withdrawn"
"4",31604,169,22,154,108,25,88,119,53,66,12,119,18,NA,39,65,99,45,56,38,87,36,21,91,20,107,26,47,73,NA,36,26,31,51,85,5,101,17,1,2,"Pass"
"5",32885,295,61,116,37,58,18,16,NA,NA,4,3,18,50,8,38,NA,25,NA,31,18,26,3,1,NA,9,3,28,38,3,NA,6,NA,59,27,25,3,7,NA,NA,"Pass"
"6",38053,278,135,141,135,39,37,57,55,52,78,10,28,14,2,24,70,38,83,27,1,9,1,82,60,55,31,6,87,23,33,82,45,423,54,37,75,22,11,5,"Pass"
"7",45462,181,74,NA,190,55,111,29,12,53,6,11,4,NA,1,10,7,2,56,4,86,52,44,6,17,67,54,33,57,25,13,54,52,NA,NA,NA,123,NA,3,NA,"Pass"
"8",45642,21,28,73,184,103,42,69,13,50,9,NA,30,16,25,52,7,45,12,74,15,15,28,21,15,53,1,61,61,13,NA,15,25,37,88,98,8,9,NA,12,"Pass"
"9",52130,6,26,65,161,93,62,37,4,105,23,75,22,29,62,3,47,26,195,4,9,27,18,31,19,54,124,59,NA,53,67,3,126,88,85,8,75,3,NA,NA,"Pass"
"10",53025,176,103,103,118,58,61,33,NA,117,93,93,164,55,68,156,47,104,113,255,12,126,132,70,71,123,149,88,75,7,45,17,89,27,50,31,101,23,5,NA,"Pass"
