"","id_student","code_presentation","dataplus","forumng","glossary","homepage","oucollaborate","oucontent","resource","subpage","url","binary_label","code_module","gender","region","highest_education","imd_band","age_band","num_of_prev_attempts","studied_credits","disability"
"1",100893,"2013J",2,5.543478261,0,3.096153846,1,2.961038961,1,1.634146341,1.222222222,"Don't Monitor","AAA","M","Yorkshire Region","A Level or Equivalent","20-30%","0-35",0,60,"N"
"2",101116,"2014J",5,2.259615385,1,3.080645161,0,4.024390244,2.043478261,1.68852459,1.875,"Don't Monitor","AAA","F","East Anglian Region","Lower Than A Level","60-70%","35-55",0,60,"N"
"3",101781,"2013J",2.833333333,2.840707965,0,4.826388889,0,7.412903226,1.111111111,2.134920635,1.963855422,"Don't Monitor","AAA","M","South Region","Lower Than A Level","80-90%","35-55",0,60,"N"
"4",102806,"2013J",3,1.62992126,0,3.235632184,0,3.153284672,1.230769231,1.296875,1,"Don't Monitor","AAA","M","North Western Region","A Level or Equivalent","30-40%","0-35",0,60,"N"
"5",102952,"2013J",5,3.338461538,0,2.965517241,0,5.100840336,1.375,2.428571429,2.083333333,"Don't Monitor","AAA","M","London Region","HE Qualification","60-70%","0-35",0,60,"N"
"6",1035023,"2013J",4,1.701298701,0,2.948905109,0,4.283783784,1.111111111,1.378378378,1,"Don't Monitor","AAA","F","London Region","Lower Than A Level","30-40%","35-55",0,60,"N"
"7",104476,"2013J",2.5,3.151785714,0,5.113207547,1.25,6.642553191,1.065217391,2.217054264,2.044117647,"Don't Monitor","AAA","M","Ireland","Post Graduate Qualification","","35-55",0,60,"N"
"8",1045203,"2014J",2,3.990384615,5,6.375,2,4.790697674,1.461538462,2.153846154,1.93877551,"Don't Monitor","AAA","M","Wales","Lower Than A Level","0-10%","35-55",0,60,"N"
"9",106247,"2013J",0,3.277777778,0,3.9,1,4.423076923,1.777777778,1.21875,1," Monitor","AAA","M","South Region","HE Qualification","80-90%","35-55",0,60,"N"
"10",106577,"2013J",0,2.068181818,0,3.893617021,0,4.630952381,1.25,1.617647059,0,"Don't Monitor","AAA","M","East Midlands Region","Lower Than A Level","20-30%","0-35",0,60,"N"
"11",107489,"2014J",2.8,2.781690141,0,4.851648352,1,3.32884097,1.117647059,1.855072464,1.777777778,"Don't Monitor","AAA","F","London Region","HE Qualification","20-30%","0-35",0,60,"N"
"12",108872,"2014J",0,2.752066116,0,3.817073171,0,5.089430894,1.470588235,2.28125,1,"Don't Monitor","AAA","M","London Region","HE Qualification","80-90%","55<=",0,60,"N"
"13",109155,"2014J",3.5,3.216617211,0,3.804511278,0,4.478571429,1,1.366197183,1.333333333,"Don't Monitor","AAA","F","South Region","HE Qualification","90-100%","0-35",0,60,"N"
"14",110175,"2013J",0,2,0,3.117647059,0,4.70754717,1.368421053,1.80952381,1.65625,"Don't Monitor","AAA","M","East Anglian Region","HE Qualification","80-90%","35-55",0,60,"N"
"15",1105478,"2013J",0,3.177777778,0,3.298387097,2,4.331428571,1.352941176,2.204819277,1.5,"Don't Monitor","AAA","M","Scotland","HE Qualification","80-90%","55<=",0,60,"N"
"16",1112555,"2014J",1.5,3.656976744,0,2.931506849,1.5,3.800632911,1.029411765,1.5625,1.25,"Don't Monitor","AAA","F","South Region","A Level or Equivalent","30-40%","35-55",0,60,"N"
"17",111512,"2014J",1,2.054054054,1,5.666666667,1,3.727272727,1.705882353,2.421052632,1," Monitor","AAA","M","Wales","A Level or Equivalent","40-50%","0-35",0,60,"N"
"18",111717,"2013J",3.5,3.158536585,1,3.595588235,2,5.23828125,1.2,2.580645161,1.84375,"Don't Monitor","AAA","F","East Anglian Region","HE Qualification","90-100%","35-55",0,60,"N"
"19",113295,"2013J",3.2,2.895306859,0,5.020512821,1.333333333,4.242331288,1.333333333,1.955752212,2,"Don't Monitor","AAA","M","Yorkshire Region","Lower Than A Level","60-70%","35-55",0,60,"N"
"20",11391,"2013J",0,3.711538462,0,3.45,0,7.08974359,1.181818182,2.909090909,1.25,"Don't Monitor","AAA","M","East Anglian Region","HE Qualification","90-100%","55<=",0,240,"N"
"21",114017,"2013J",0,1.25,0,3.48,0,5.733333333,1.423076923,2.242857143,1.904761905,"Don't Monitor","AAA","F","North Region","Post Graduate Qualification","","35-55",0,60,"N"
"22",114999,"2013J",3.333333333,2.388888889,0,2.295238095,1,3.47755102,1.227272727,1.274509804,1.142857143,"Don't Monitor","AAA","M","Yorkshire Region","HE Qualification","60-70%","35-55",0,60,"N"
"23",116541,"2013J",3,2.181818182,0,3.925233645,0,4.767634855,1,1.77027027,1.981481481,"Don't Monitor","AAA","M","Wales","HE Qualification","0-10%","0-35",0,60,"N"
"24",116692,"2013J",0,3,0,3.214285714,0,4.556390977,1.6,2.731707317,1.75,"Don't Monitor","AAA","M","East Anglian Region","A Level or Equivalent","70-80%","35-55",0,60,"N"
"25",117818,"2014J",2,2.2,2,3.244897959,0,5.411167513,1.581395349,1.701149425,2.68,"Don't Monitor","AAA","F","London Region","A Level or Equivalent","40-50%","35-55",0,60,"N"
"26",1183831,"2014J",4.6,3.213592233,1,2.59047619,2,6.110320285,1.229166667,2.927835052,2.15," Monitor","AAA","M","South West Region","HE Qualification","70-80%","55<=",0,60,"N"
"27",118983,"2013J",0,1.285714286,0,2.384615385,0,4.441176471,1,1.653846154,1.25,"Don't Monitor","AAA","M","East Midlands Region","HE Qualification","30-40%","0-35",0,120,"N"
"28",119902,"2014J",2.333333333,2.437209302,1,6.888888889,1.5,5.807692308,1.153846154,2.182926829,2.088888889," Monitor","AAA","F","South West Region","A Level or Equivalent","60-70%","35-55",0,60,"N"
"29",121349,"2014J",6.5,2.157894737,0,2.836956522,0,8.466019417,1.3,1.443037975,1.818181818,"Don't Monitor","AAA","F","South West Region","A Level or Equivalent","40-50%","35-55",1,60,"N"
"30",123044,"2013J",3,3.786407767,0,3.857142857,2,4.080952381,1,2.01010101,1.862745098,"Don't Monitor","AAA","M","South Region","A Level or Equivalent","40-50%","35-55",0,60,"N"
"31",124064,"2014J",0,2.810457516,0,3.673076923,1.5,3.182608696,1.333333333,1.621848739,1.385964912,"Don't Monitor","AAA","F","South East Region","A Level or Equivalent","60-70%","0-35",0,120,"N"
"32",125018,"2014J",4,3.724867725,0,3.151260504,2,4.506912442,1.142857143,1.581818182,1.375,"Don't Monitor","AAA","M","South Region","HE Qualification","70-80%","35-55",0,60,"N"
"33",1268696,"2014J",0,2.948275862,2,3.884615385,0,1.533333333,1,1.411764706,1,"Don't Monitor","AAA","M","South West Region","HE Qualification","80-90%","35-55",0,60,"N"
"34",127582,"2013J",0,1.8,0,3.724137931,0,4.44,1.125,1.451612903,1.666666667,"Don't Monitor","AAA","F","East Midlands Region","A Level or Equivalent","40-50%","0-35",0,180,"N"
"35",129955,"2013J",3,1.5,0,3.7625,1,3.909677419,1,1.535714286,1.538461538," Monitor","AAA","M","West Midlands Region","A Level or Equivalent","50-60%","0-35",0,60,"N"
"36",129955,"2014J",4.2,1.5,0,2.118421053,0,4.788732394,1,1.375,0," Monitor","AAA","M","West Midlands Region","A Level or Equivalent","50-60%","0-35",1,60,"N"
"37",130034,"2014J",1.5,1.519083969,0,5.203883495,0,3.391304348,1.419354839,2.037037037,2.442307692,"Don't Monitor","AAA","F","East Anglian Region","A Level or Equivalent","60-70%","35-55",0,60,"N"
"38",130547,"2014J",7,3.666666667,1,2.382352941,0,4.865497076,1.071428571,2.146341463,1.578947368,"Don't Monitor","AAA","F","South Region","A Level or Equivalent","70-80%","35-55",0,60,"N"
"39",130636,"2014J",0,5,0,2.45,0,3.566037736,1,1.592592593,1,"Don't Monitor","AAA","M","South East Region","A Level or Equivalent","10-20","0-35",0,60,"N"
"40",131390,"2014J",0,1.7,0,4.5,0,5.615384615,1.166666667,1.166666667,0,"Don't Monitor","AAA","M","East Anglian Region","A Level or Equivalent","90-100%","35-55",0,60,"N"
"41",132976,"2013J",6,2.217391304,0,2.96875,1,5.049180328,1,1.923076923,2,"Don't Monitor","AAA","F","East Anglian Region","Lower Than A Level","80-90%","35-55",0,120,"N"
"42",1336190,"2014J",5,2,0,4.895833333,0,4.535433071,1.375,3.235294118,2.611111111,"Don't Monitor","AAA","M","London Region","HE Qualification","80-90%","55<=",0,60,"N"
"43",133816,"2014J",3,4.175531915,0,6.09375,1,5.332046332,1,2.314285714,1.740740741,"Don't Monitor","AAA","F","South Region","A Level or Equivalent","70-80%","35-55",0,60,"N"
"44",133922,"2014J",0,1.75,0,2.482758621,0,3.085106383,1.1,1.617647059,1.285714286,"Don't Monitor","AAA","M","North Region","Lower Than A Level","0-10%","0-35",0,60,"N"
"45",134143,"2013J",3.428571429,1.384615385,0,3.678832117,2,5.92022792,1.4,1.945945946,2,"Don't Monitor","AAA","F","South East Region","A Level or Equivalent","90-100%","35-55",0,60,"N"
"46",1352868,"2013J",0,2.678571429,0,3.166666667,0,5.306666667,1,1.633333333,1," Monitor","AAA","M","Yorkshire Region","A Level or Equivalent","20-30%","35-55",0,60,"N"
"47",1352868,"2014J",3,2.544444444,0,2.311111111,0,3.721518987,1,1.612903226,1,"Don't Monitor","AAA","M","Yorkshire Region","A Level or Equivalent","20-30%","35-55",1,60,"N"
"48",135335,"2013J",0,0,0,2.333333333,0,2.538461538,0,1,0," Monitor","AAA","F","East Anglian Region","Lower Than A Level","20-30%","0-35",0,180,"N"
"49",135335,"2014J",0,0,0,1.6,0,2.333333333,0,1,0," Monitor","AAA","F","East Anglian Region","Lower Than A Level","20-30%","0-35",1,120,"N"
"50",135400,"2013J",0,1.4,0,2.652173913,0,4.382352941,1,1.708333333,1.2," Monitor","AAA","F","South East Region","Lower Than A Level","90-100%","35-55",0,60,"Y"
"51",135400,"2014J",0,1,0,2.25,0,6.676470588,1,1.260869565,1.6,"Don't Monitor","AAA","F","South East Region","Lower Than A Level","90-100%","35-55",1,60,"Y"
"52",135471,"2014J",3,2.103448276,1,3.42519685,0,4.841269841,1.625,1.493333333,1.355555556,"Don't Monitor","AAA","M","East Anglian Region","Lower Than A Level","90-100%","35-55",0,60,"N"
"53",137873,"2013J",2,3.291512915,0,5.542553191,0,7.051162791,1.173913043,1.628099174,1.391304348,"Don't Monitor","AAA","M","South West Region","A Level or Equivalent","40-50%","35-55",0,60,"N"
"54",139033,"2014J",0,1.75,0,3.5,1,3.41322314,1.142857143,1.558823529,1.2," Monitor","AAA","M","South East Region","A Level or Equivalent","90-100%","35-55",0,60,"N"
"55",1398979,"2014J",2.375,3.643340858,3,4.479381443,0,2.31547619,1.578947368,1.301886792,1.153846154," Monitor","AAA","F","South Region","A Level or Equivalent","90-100%","55<=",0,60,"N"
"56",1401935,"2013J",0,3.483870968,0,2.041666667,0,3.25,1,2.142857143,0," Monitor","AAA","M","West Midlands Region","A Level or Equivalent","70-80%","35-55",0,60,"N"
"57",1402638,"2013J",0,2.041666667,1.333333333,3.02739726,0,4.267857143,1,1.290322581,1.2,"Don't Monitor","AAA","F","East Midlands Region","HE Qualification","30-40%","35-55",0,60,"N"
"58",141355,"2013J",3.5,3.4921875,0,2.988636364,0,3.383116883,1.357142857,1.745098039,1.5,"Don't Monitor","AAA","F","East Midlands Region","A Level or Equivalent","30-40%","0-35",0,240,"N"
"59",141377,"2013J",1,6.25,2,3.666666667,0,3,2,2.7,0," Monitor","AAA","M","South West Region","A Level or Equivalent","90-100%","0-35",0,345,"N"
"60",141377,"2014J",0,3.076923077,0,3.827586207,0,3.022222222,1.3,2.25,3,"Don't Monitor","AAA","M","South West Region","A Level or Equivalent","90-100%","0-35",1,210,"N"
"61",1414443,"2013J",4.5,2.966292135,1.75,9.441860465,1,6.432258065,1.130434783,2.096153846,3.142857143," Monitor","AAA","F","Yorkshire Region","A Level or Equivalent","10-20","35-55",0,120,"N"
"62",141506,"2014J",0,3.4,6,3.730769231,0,2.828571429,1.142857143,2.294117647,2.333333333," Monitor","AAA","M","Scotland","A Level or Equivalent","20-30%","35-55",0,60,"N"
